evaluation_year,feature,mean_absolute_shap,seed_std
2024,abs_return_mean20,0.0150600197361829,0.0011969073882740126
2024,abs_return_std20,0.062265459952986504,0.0018728147150133521
2024,abs_vwap_return_t,0.1264030064154919,0.004010231872711697
2024,aggregate_broker_imbalance,0.007321025125309825,0.0009322986221001881
2024,aggregate_broker_imbalance_z20,0.043464236234678655,0.0021187304366706928
2024,broker_count,0.0040095282262418595,0.00035525923599882874
2024,broker_count_z20,0.12775346682086045,0.003431774850582795
2024,broker_flow_entropy,0.011351533259600546,0.0012918716655295351
2024,buyer_hhi,0.060343622247973114,0.003573096838306443
2024,gross_flow_hhi,0.007970854906200215,0.0007297720651598338
2024,gross_flow_hhi_z20,0.024550316055732452,0.0018859300862568847
2024,illiquidity_t,0.055828123568481366,0.0033239857334954135
2024,log_trade_count_t,0.011660021413912942,0.0011191297423886167
2024,log_turnover_t,0.015421248816015717,0.0022247835601044903
2024,log_volume_t,0.04408069474561045,0.0015840392159337277
2024,mkt_abs_return,0.09118918237106526,0.004105946442644123
2024,mkt_log_trades,0.19989249081209512,0.023929099169156646
2024,mkt_log_turnover,0.11590046924634456,0.010146375633478333
2024,mkt_return,0.0984635718300299,0.0031532078040541326
2024,range_mean20,0.23067688864330496,0.004083717495696117
2024,range_std20,0.045112982959686666,0.0009276503849213368
2024,range_t,0.21324453177099106,0.005444292179654619
2024,same_broker_value_share,0.009905034194640516,0.0002546652349752636
2024,seller_hhi,0.03695027348991095,0.002692821170546542
2024,top_broker_flow_share,0.008609153918235113,0.0016085631949415858
2024,top_broker_flow_share_z20,0.005774792778805311,0.0005960485155059932
2024,turnover_z20,0.12129566620620905,0.0016005828790680377
2024,vwap_return_t,0.026076741276892773,0.0010428752746426172
2025,abs_return_mean20,0.018887113753936136,0.0014707486471393523
2025,abs_return_std20,0.07398872271418347,0.0023324900188486882
2025,abs_vwap_return_t,0.08969394220358831,0.001601353135319993
2025,aggregate_broker_imbalance,0.005828754473496107,0.0011928250107540025
2025,aggregate_broker_imbalance_z20,0.04621442256673628,0.0015490122971025396
2025,broker_count,0.12895331055459516,0.009730210815001514
2025,broker_count_z20,0.11696507707389617,0.0053086610539762715
2025,broker_flow_entropy,0.011431205892308602,0.0011758361878829047
2025,buyer_hhi,0.05338058176372542,0.003392150623383722
2025,gross_flow_hhi,0.006672896018305098,0.0023396219033442757
2025,gross_flow_hhi_z20,0.03889001638577484,0.0016404278703680253
2025,illiquidity_t,0.06734673388335963,0.0021128737030738725
2025,log_trade_count_t,0.00757110458404376,0.0014554729514234602
2025,log_turnover_t,0.022840929082508572,0.0014173451576959865
2025,log_volume_t,0.0397539937133045,0.002051868446915542
2025,mkt_abs_return,0.07836873750554675,0.006808732281878233
2025,mkt_log_trades,0.07247804756426253,0.004527299222287089
2025,mkt_log_turnover,0.10464083757853,0.008495317097527641
2025,mkt_return,0.1164058351906913,0.004800885986467661
2025,range_mean20,0.12446859208866612,0.0030645664339447216
2025,range_std20,0.06050274657396802,0.002129484553055453
2025,range_t,0.17945645287572556,0.002532262811780378
2025,same_broker_value_share,0.006630766534071924,0.000675291414957505
2025,seller_hhi,0.033725367981936455,0.0027942056551462707
2025,top_broker_flow_share,0.011376257813488116,0.0010655694387031434
2025,top_broker_flow_share_z20,0.005503343226337119,0.0010359627718116503
2025,turnover_z20,0.1614564237995193,0.001399675520335658
2025,vwap_return_t,0.022021167521233464,0.0013748953165732135
