evaluation_year,stage,randomization_seed,rank_spearman_with_trained,top10_jaccard_with_trained,control_to_trained_mean_signal_ratio
2024,predictor_randomized,1101,0.6316365626710454,0.5384615384615384,0.618563984179471
2024,predictor_randomized,1201,0.3552271483305966,0.25,0.42720374438950653
2024,predictor_randomized,1301,0.6535303776683087,0.42857142857142855,0.40645328406150677
2024,recurrent_predictor_randomized,1101,0.27203065134099613,0.25,0.38573414832130715
2024,recurrent_predictor_randomized,1201,0.3437328954570334,0.25,0.4568813083964542
2024,recurrent_predictor_randomized,1301,0.22714833059660647,0.25,0.4962573499077714
2025,predictor_randomized,1101,0.4488232074438971,0.42857142857142855,0.5852166607652215
2025,predictor_randomized,1201,0.11275314723590585,0.3333333333333333,0.4235203222519847
2025,predictor_randomized,1301,0.5385878489326764,0.42857142857142855,0.4248565676456816
2025,recurrent_predictor_randomized,1101,0.18171866447728516,0.25,0.4178011886007744
2025,recurrent_predictor_randomized,1201,0.21455938697318008,0.25,0.501045545903081
2025,recurrent_predictor_randomized,1301,0.04050355774493705,0.25,0.5585394956305375
