evaluation_year,model,threshold,prevalence,alerts,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit
2024,lgbm_state,0.02,0.1172264030851024,53418,0.09921061539296164,0.8463162971991736,0.09921061539296164,0.0
2024,lgbm_state,0.03,0.1172264030851024,53416,0.08992528484741813,0.7671077716351615,0.08992412689185815,0.0
2024,lgbm_state,0.04,0.1172264030851024,53058,0.08037396882449112,0.6856302565740444,0.080444169880315,0.0
2024,lgbm_state,0.05,0.1172264030851024,50250,0.0714228005147092,0.6092723024424682,0.07076463482642359,0.0
2024,lgbm_state,0.06,0.1172264030851024,44376,0.06260221472879889,0.5340282827184571,0.06087915221819405,0.0
2024,lgbm_state,0.07,0.1172264030851024,37144,0.055394319582179406,0.4725413228107409,0.05078107858613161,0.0
2024,lgbm_state,0.08,0.1172264030851024,30680,0.04941747367358666,0.4215558301973255,0.04046348161424175,0.0
2024,lgbm_state,0.09,0.1172264030851024,25380,0.04459541357216298,0.3804212395716707,0.029919124269343317,0.0
2024,lgbm_state,0.1,0.1172264030851024,21083,0.03957675523439872,0.3376095674083537,0.019140447872336,0.0
2024,lgbm_state,0.12,0.1172264030851024,15223,0.03125521189656875,0.266622630004936,-0.003151814676019979,0.0
2024,lgbm_state,0.14,0.1172264030851024,11388,0.025483092102914526,0.21738355380924435,-0.026480926645229774,0.0
2024,lgbm_state,0.16,0.1172264030851024,8795,0.02092214324046291,0.17847637298292043,-0.05092094870821143,0.0
2024,lgbm_state,0.18,0.1172264030851024,6899,0.017286125349178914,0.14745931713549013,-0.07655316696938727,0.0
2024,lgbm_state,0.2,0.1172264030851024,5529,0.014185293346811938,0.12100766528265731,-0.10346699614362198,0.0
2024,lgbm_state,0.25,0.1172264030851024,3297,0.007531793278170905,0.06424997338443522,-0.17703146255319674,0.0
2024,lgbm_state,0.3,0.1172264030851024,2089,0.004046255141391612,0.0345165852990829,-0.2611051384498537,0.0
2024,lgbm_state,0.4,0.1172264030851024,940,0.0013416201779674767,0.011444692856382412,-0.471289328191496,0.0
2024,temporal_tabular,0.02,0.1172264030851024,53131,0.09930116042822834,0.8470886917526511,0.09921061539296164,0.0
2024,temporal_tabular,0.03,0.1172264030851024,49928,0.09059381119071411,0.772810636567481,0.08992412689185815,0.0
2024,temporal_tabular,0.04,0.1172264030851024,43874,0.08139500418086287,0.6943402001490471,0.080444169880315,0.0
2024,temporal_tabular,0.05,0.1172264030851024,36907,0.07347513453970768,0.6267797407924153,0.07076463482642359,0.0
2024,temporal_tabular,0.06,0.1172264030851024,30664,0.06646018594417533,0.5669387117160584,0.06087915221819405,0.0
2024,temporal_tabular,0.07,0.1172264030851024,25732,0.060262397959368524,0.514068472403952,0.05078107858613161,0.0
2024,temporal_tabular,0.08,0.1172264030851024,21890,0.055363197879887416,0.4722758390846097,0.04046348161424175,0.0
2024,temporal_tabular,0.09,0.1172264030851024,18904,0.05098993260287207,0.43496969335359636,0.029919124269343317,0.0
2024,temporal_tabular,0.1,0.1172264030851024,16444,0.04668838219326818,0.39827531140210787,0.019140447872336,0.0
2024,temporal_tabular,0.12,0.1172264030851024,12770,0.04028264221457527,0.34363113730727907,-0.003151814676019979,0.0
2024,temporal_tabular,0.14,0.1172264030851024,10296,0.03529774390132409,0.3011074550815922,-0.026480926645229774,0.0
2024,temporal_tabular,0.16,0.1172264030851024,8517,0.031095279101569114,0.26525832306732977,-0.05092094870821143,0.0
2024,temporal_tabular,0.18,0.1172264030851024,7150,0.027075919416949982,0.23097116950089971,-0.07655316696938727,0.0
2024,temporal_tabular,0.2,0.1172264030851024,6056,0.023699876446141747,0.2021718300862344,-0.10346699614362198,0.0
2024,temporal_tabular,0.25,0.1172264030851024,3982,0.016686010957604802,0.14234004045565846,-0.17703146255319674,0.0
2024,temporal_tabular,0.3,0.1172264030851024,2701,0.011170659435289334,0.09529132636765979,-0.2611051384498537,0.0
2024,temporal_tabular,0.4,0.1172264030851024,1283,0.004923434048448088,0.04199936122644522,-0.471289328191496,0.0
2025,lgbm_state,0.02,0.10508269463493344,54538,0.08681907615809535,0.8261976575659055,0.08681907615809535,0.0
2025,lgbm_state,0.03,0.10508269463493344,54502,0.07740635206399171,0.7366232121559902,0.07740483982982829,0.0
2025,lgbm_state,0.04,0.10508269463493344,53028,0.06782121334360139,0.6454080148897806,0.06779447357805567,0.0
2025,lgbm_state,0.05,0.10508269463493344,47868,0.05851255811978514,0.5568239216082432,0.05798178382624573,0.0
2025,lgbm_state,0.06,0.10508269463493344,40992,0.04982822829758365,0.47418110537316643,0.047960313441418566,0.0
2025,lgbm_state,0.07,0.10508269463493344,34208,0.04287116371853973,0.4079754888992706,0.03772332756444455,0.0
2025,lgbm_state,0.08,0.10508269463493344,28417,0.036823945649383676,0.3504282582142884,0.027263798516232007,0.0
2025,lgbm_state,0.09,0.10508269463493344,23789,0.032319233811771125,0.30756000237766074,0.01657438970871808,0.0
2025,lgbm_state,0.1,0.10508269463493344,20003,0.028292199933990972,0.2692374803699179,0.005647438483259382,0.0
2025,lgbm_state,0.12,0.10508269463493344,14299,0.021422094352894896,0.20385939309338366,-0.016951483369393797,0.0
2025,lgbm_state,0.14,0.10508269463493344,10386,0.015840459436433054,0.15074279824536485,-0.04060151786635646,0.0
2025,lgbm_state,0.16,0.10508269463493344,7703,0.011864161117892458,0.11290309178984799,-0.06537774448222211,0.0
2025,lgbm_state,0.18,0.10508269463493344,5787,0.009376769296681929,0.08923228823982535,-0.09136256751837382,0.0
2025,lgbm_state,0.2,0.10508269463493344,4348,0.007183065018885914,0.06835630779968592,-0.11864663170633319,0.0
2025,lgbm_state,0.25,0.10508269463493344,2073,0.004052220470130919,0.03856220554876986,-0.19322307382008871,0.0
2025,lgbm_state,0.3,0.10508269463493344,988,0.003001838822734345,0.028566443153775205,-0.27845329337866653,0.0
2025,lgbm_state,0.4,0.10508269463493344,302,0.0022369723862261173,0.021287733379863897,-0.49152884227511096,0.0
2025,temporal_tabular,0.02,0.10508269463493344,54154,0.08683179898531711,0.8263187319946299,0.08681907615809535,0.0
2025,temporal_tabular,0.03,0.10508269463493344,51595,0.07758044802205442,0.7382799640947136,0.07740483982982829,0.0
2025,temporal_tabular,0.04,0.10508269463493344,46756,0.06850651533487354,0.6519295643575873,0.06779447357805567,0.0
2025,temporal_tabular,0.05,0.10508269463493344,40694,0.05981922792606217,0.569258602797344,0.05798178382624573,0.0
2025,temporal_tabular,0.06,0.10508269463493344,34435,0.05157247376999679,0.4907798943409675,0.047960313441418566,0.0
2025,temporal_tabular,0.07,0.10508269463493344,28819,0.04486700996089537,0.42696858999255133,0.03772332756444455,0.0
2025,temporal_tabular,0.08,0.10508269463493344,24024,0.04020092890955966,0.3825646939224507,0.027263798516232007,0.0
2025,temporal_tabular,0.09,0.10508269463493344,20191,0.035136505285759026,0.33437004454278935,0.01657438970871808,0.0
2025,temporal_tabular,0.1,0.10508269463493344,17023,0.030594366415261934,0.29114562127997823,0.005647438483259382,0.0
2025,temporal_tabular,0.12,0.10508269463493344,12448,0.024591694198207087,0.23402230294570198,-0.016951483369393797,0.0
2025,temporal_tabular,0.14,0.10508269463493344,9346,0.02030928723049514,0.19326957022801325,-0.04060151786635646,0.0
2025,temporal_tabular,0.16,0.10508269463493344,7145,0.01713091265330071,0.16302315726499986,-0.06537774448222211,0.0
2025,temporal_tabular,0.18,0.10508269463493344,5594,0.014469213231499363,0.1376935877193356,-0.09136256751837382,0.0
2025,temporal_tabular,0.2,0.10508269463493344,4454,0.012037478455388904,0.11455243413016926,-0.11864663170633319,0.0
2025,temporal_tabular,0.25,0.10508269463493344,2541,0.008843986455926756,0.0841621590182051,-0.19322307382008871,0.0
2025,temporal_tabular,0.3,0.10508269463493344,1455,0.006273476422730153,0.05970037639903282,-0.27845329337866653,0.0
2025,temporal_tabular,0.4,0.10508269463493344,485,0.0037894067744814013,0.03606118769266562,-0.49152884227511096,0.0
